Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2022;8472 ;8664;11131;84321;3;12.00;5;4;0;1;16;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Moratin 2.0;MASCULINO;Centro
2022;8472 ;8664;11131;83809;6;7.00;4;2;1;1;16;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;MAJETES F.C.;MASCULINO;Centro
2022;8472 ;8664;11131;83735;7;3.00;5;1;0;4;6;12;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;GMADRID SPORTS;MASCULINO;Centro
2022;8472 ;8664;11131;84484;9;.00;5;0;0;5;7;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Inter de Madrid FC;MASCULINO;Centro
2022;8472 ;8664;11131;83112;8;3.00;5;1;0;4;7;29;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Bayërn de los Caídos ;MASCULINO;Centro
2022;8472 ;8664;11131;84412;10;.00;5;0;0;5;8;35;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;FC Madrid United ;MASCULINO;Centro
2022;8479 ;8683;10382;85355;1;6.00;3;3;0;0;6;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;ABV BOADILLA VERDE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;85673;4;5.00;3;2;0;1;4;3;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;ALDEAFUENTE C;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;84542;2;5.00;3;2;0;1;5;2;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;MADRID NORTE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;85676;3;5.00;3;2;0;1;4;2;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;DEPOL FEEL ALCOBENDAS CADETE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;85453;7;3.00;2;1;0;1;2;3;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;ABV BOADILLA ROJO;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;85462;8;3.00;3;0;0;3;0;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;ABV BOADILLA NEGRO;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;86610;6;3.00;2;1;0;1;3;2;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;Santa María de Yermo;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;85193;5;4.00;3;1;0;2;2;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;SALESIANOS ESTRECHO;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10382;85320;9;1.00;2;0;0;2;0;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SAB MAÑ TAR VB CAD FEM B;VOLEIBOL;CADETE ;PLAZA CASTILLA;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85372;1;6.00;3;3;0;0;6;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;ABV BOADILLA VERDE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;87069;2;6.00;3;3;0;0;6;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;OBISPO PERELLO;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85664;6;3.00;2;1;0;1;3;2;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;DEPOL FEEL ALCOBENDAS JUVENIL;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;84597;3;5.00;3;2;0;1;4;2;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;MADRID NORTE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;87361;5;4.00;3;1;0;2;2;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;CD Las Rosas;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85295;4;4.00;2;2;0;0;4;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;ESCLAVAS;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;86353;7;3.00;3;0;0;3;0;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;EDUCA&PLAY VOLEY;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;86497;8;2.00;2;0;0;2;0;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;COLEGIO ÁRULA;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85230;9;1.00;3;0;0;2;0;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;SALESIANOS ESTRECHO;FEMENINO;Moncloa-Aravaca
2022;8481 ;8685;11326;87531;3;6.00;2;2;0;0;12;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM VAL SAB MAÑ FS INF MAS;FUTBOL SALA;INFANTIL ;Tajamar;MASCULINO;Puente de Vallecas
2022;8481 ;8685;11326;88262;2;7.00;4;2;1;1;13;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM VAL SAB MAÑ FS INF MAS;FUTBOL SALA;INFANTIL ;CD PASAMONTE;MASCULINO;Puente de Vallecas
2022;8481 ;8685;11326;86986;4;6.00;3;2;0;1;13;7;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM VAL SAB MAÑ FS INF MAS;FUTBOL SALA;INFANTIL ;ESTUDIANTES FUTSAL;MASCULINO;Puente de Vallecas
2022;8481 ;8685;11326;87831;1;9.00;3;3;0;0;10;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM VAL SAB MAÑ FS INF MAS;FUTBOL SALA;INFANTIL ;CD CIUDAD DE LOS MUCHACHOS;MASCULINO;Puente de Vallecas
2022;8481 ;8685;11326;87642;5;6.00;3;2;0;1;9;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM VAL SAB MAÑ FS INF MAS;FUTBOL SALA;INFANTIL ;Liceo Versalles;MASCULINO;Puente de Vallecas
